GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ts-cancel-service,cancel.entity,GetAccountByIdResult,155,0,26,0,3,0,24,0,11,0
ts-cancel-service,cancel.entity,GetOrderByIdInfo,82,0,14,0,3,0,14,0,7,0
ts-cancel-service,cancel.entity,GetAccountByIdInfo,82,0,14,0,3,0,14,0,7,0
ts-cancel-service,cancel.controller,CancelController,14,35,0,0,3,8,0,5,0,5
ts-cancel-service,cancel,CancelApplication,11,0,0,0,4,0,3,0,3,0
ts-cancel-service,cancel.service,CancelServiceImpl.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
ts-cancel-service,cancel.service,CancelServiceImpl.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
ts-cancel-service,cancel.service,CancelServiceImpl.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
ts-cancel-service,cancel.service,CancelServiceImpl,477,406,32,18,107,88,26,13,3,11
ts-cancel-service,cancel.config,SecurityConfig,89,0,0,0,16,0,4,0,4,0
ts-cancel-service,cancel.config,SecurityConfig.new WebMvcConfigurerAdapter() {...},36,0,0,0,8,0,2,0,2,0
